1,1,2021-11-05,2021-11-20
1,3,2022-07-09,2022-08-07
1,6,2024-05-06,2024-05-22
1,47,2020-12-24,2021-01-23
1,50,2020-09-06,2020-09-25
1,70,2020-07-03,2020-07-07
1,101,2022-11-17,2022-12-04
1,110,2024-07-03,2024-08-02
1,151,2021-11-20,2021-12-05
1,157,2023-10-26,2023-11-05
1,163,2022-01-28,2022-02-13
1,216,2024-02-28,2024-02-29
1,223,2024-11-13,2024-11-29
1,231,2024-09-19,2024-09-27
1,235,2024-05-23,2024-06-09
1,260,2020-11-12,2020-12-08
1,296,2021-11-09,2021-12-08
1,316,2021-10-27,2021-11-21
1,333,2022-09-29,2022-10-14
1,349,2024-09-17,2024-09-26
1,356,2024-04-19,2024-05-14
1,362,2020-11-27,2020-12-20
1,367,2022-09-20,2022-10-02
1,423,2021-10-15,2021-10-29
1,441,2024-04-09,2024-05-02
1,457,2023-05-27,2023-06-02
1,480,2021-03-18,2021-03-21
1,500,2023-12-28,2023-12-31
1,527,2024-06-19,2024-07-06
1,543,2021-09-25,2021-10-01
1,552,2022-01-18,2022-01-27
1,553,2023-08-29,2023-09-09
1,590,2022-10-03,2022-10-05
1,592,2022-08-04,2022-08-16
1,593,2024-11-18,2024-11-29
1,596,2023-06-16,2023-07-16
1,608,2021-03-04,2021-03-19
1,648,2022-09-19,2022-10-15
1,661,2022-01-19,2022-02-18
1,673,2023-06-21,2023-06-26
1,733,2020-07-10,2020-07-31
1,736,2021-12-26,2022-01-03
1,780,2024-08-05,2024-08-13
1,804,2024-09-25,2024-10-01
1,919,2020-05-09,2020-06-08
1,923,2022-12-10,2022-12-23
1,940,2022-09-08,2022-09-09
1,943,2022-02-23,2022-03-03
1,954,2020-08-05,2020-09-02
1,1009,2022-02-21,2022-02-25
1,1023,2020-12-08,2020-12-13
1,1024,2020-09-07,2020-10-03
1,1025,2024-08-04,2024-09-03
1,1029,2022-08-02,2022-08-08
1,1030,2021-03-19,2021-04-12
1,1031,2023-08-15,2023-09-03
1,1032,2020-08-28,2020-09-07
1,1042,2022-11-18,2022-11-27
1,1049,2024-03-24,2024-04-13
1,1060,2021-08-05,2021-08-24
1,1073,2024-02-17,2024-02-25
1,1080,2020-02-23,2020-03-01
1,1089,2024-01-08,2024-02-05
1,1090,2022-01-06,2022-01-17
1,1092,2024-02-29,2024-03-28
1,1097,2023-05-15,2023-06-10
1,1127,2022-01-17,2022-01-28
1,1136,2020-08-27,2020-09-21
1,1196,2023-07-06,2023-07-10
1,1197,2024-06-02,2024-06-27
1,1198,2023-07-15,2023-08-11
1,1206,2024-12-03,2024-12-22
1,1208,2024-10-22,2024-11-19
1,1210,2021-01-26,2021-02-20
1,1213,2022-12-03,2022-12-11
1,1214,2021-04-09,2021-04-11
1,1219,2020-03-03,2020-03-25
1,1220,2024-09-26,2024-10-08
1,1222,2021-06-10,2021-06-30
1,1224,2021-08-04,2021-08-10
1,1226,2021-07-07,2021-08-05
1,1240,2024-05-17,2024-05-22
1,1256,2020-03-04,2020-03-05
1,1258,2022-03-14,2022-03-30
1,1265,2021-09-26,2021-10-08
1,1270,2021-05-31,2021-06-16
1,1275,2020-04-18,2020-05-06
1,1278,2023-06-29,2023-07-27
1,1282,2023-04-02,2023-05-02
1,1291,2024-02-12,2024-03-13
1,1298,2023-03-31,2023-04-02
1,1348,2024-06-09,2024-07-05
1,1377,2021-03-02,2021-03-27
1,1396,2020-09-13,2020-09-16
1,1408,2024-10-27,2024-10-31
1,1445,2020-01-04,2020-01-23
1,1473,2021-08-09,2021-08-22
1,1500,2020-12-28,2021-01-14
1,1517,2021-11-14,2021-11-25
1,1552,2022-10-17,2022-10-31
1,1573,2020-09-01,2020-09-29
1,1580,2022-01-20,2022-02-09
1,1587,2022-02-22,2022-03-11
1,1617,2023-06-12,2023-07-12
1,1620,2022-01-11,2022-02-10
