1,1,2021-11-05,2021-11-20d
1,3,2022-07-09,2022-08-07d
1,6,2024-05-06,2024-05-22d
1,47,2020-12-24,2021-01-23d
1,50,2020-09-06,2020-09-25d
1,70,2020-07-03,2020-07-07d
1,101,2022-11-17,2022-12-04d
1,110,2024-07-03,2024-08-02d
1,151,2021-11-20,2021-12-05d
1,157,2023-10-26,2023-11-05d
1,163,2022-01-28,2022-02-13d
1,216,2024-02-28,2024-02-29d
1,223,2024-11-13,2024-11-29d
1,231,2024-09-19,2024-09-27d
1,235,2024-05-23,2024-06-09d
1,260,2020-11-12,2020-12-08d
1,296,2021-11-09,2021-12-08d
1,316,2021-10-27,2021-11-21d
1,333,2022-09-29,2022-10-14d
1,349,2024-09-17,2024-09-26d
1,356,2024-04-19,2024-05-14d
1,362,2020-11-27,2020-12-20d
1,367,2022-09-20,2022-10-02d
1,423,2021-10-15,2021-10-29d
1,441,2024-04-09,2024-05-02d
1,457,2023-05-27,2023-06-02d
1,480,2021-03-18,2021-03-21d
1,500,2023-12-28,2023-12-31d
1,527,2024-06-19,2024-07-06d
1,543,2021-09-25,2021-10-01d
1,552,2022-01-18,2022-01-27d
1,553,2023-08-29,2023-09-09d
1,590,2022-10-03,2022-10-05d
1,592,2022-08-04,2022-08-16d
1,593,2024-11-18,2024-11-29d
1,596,2023-06-16,2023-07-16d
1,608,2021-03-04,2021-03-19d
1,648,2022-09-19,2022-10-15d
1,661,2022-01-19,2022-02-18d
1,673,2023-06-21,2023-06-26d
1,733,2020-07-10,2020-07-31d
1,736,2021-12-26,2022-01-03d
1,780,2024-08-05,2024-08-13d
1,804,2024-09-25,2024-10-01d
1,919,2020-05-09,2020-06-08d
1,923,2022-12-10,2022-12-23d
1,940,2022-09-08,2022-09-09d
1,943,2022-02-23,2022-03-03d
1,954,2020-08-05,2020-09-02d
1,1009,2022-02-21,2022-02-25d
1,1023,2020-12-08,2020-12-13d
1,1024,2020-09-07,2020-10-03d
1,1025,2024-08-04,2024-09-03d
1,1029,2022-08-02,2022-08-08d
1,1030,2021-03-19,2021-04-12d
1,1031,2023-08-15,2023-09-03d
