1,1,2024-07-03,2024-07-25
1,3,2024-04-12,2024-05-10
1,6,2020-08-15,2020-08-17
1,47,2020-12-06,2020-12-31
1,50,2020-01-16,2020-01-30
1,70,2020-05-24,2020-05-27
1,101,2020-04-10,2020-05-10
1,110,2022-05-09,2022-05-26
1,151,2023-08-23,2023-09-02
1,157,2023-02-03,2023-02-27
1,163,2024-02-29,2024-03-08
1,216,2024-11-24,2024-12-16
1,223,2021-07-12,2021-07-22
1,231,2023-08-17,2023-08-24
1,235,2023-05-19,2023-06-05
1,260,2021-11-15,2021-12-11
1,296,2022-12-13,2022-12-30
1,316,2024-10-22,2024-11-19
1,333,2021-07-15,2021-07-23
1,349,2021-11-03,2021-11-10
1,356,2022-02-20,2022-03-22
1,362,2023-07-20,2023-07-31
1,367,2020-11-12,2020-11-24
1,423,2020-08-27,2020-09-16
1,441,2024-07-22,2024-08-05
1,457,2022-09-11,2022-09-22
1,480,2024-05-15,2024-05-28
1,500,2024-06-06,2024-06-16
1,527,2020-08-11,2020-08-21
1,543,2020-09-06,2020-10-05
1,552,2023-09-08,2023-09-29
1,553,2022-03-23,2022-04-08
1,590,2020-11-18,2020-11-28
1,592,2023-12-08,2023-12-23
1,593,2021-03-01,2021-03-05
1,596,2021-10-06,2021-10-09
1,608,2020-04-19,2020-05-18
1,648,2024-01-06,2024-01-27
1,661,2021-02-06,2021-03-02
1,673,2021-07-26,2021-08-24
1,733,2022-09-25,2022-10-04
1,736,2024-10-20,2024-11-09
1,780,2021-08-05,2021-09-01
1,804,2021-01-05,2021-01-31
1,919,2024-09-15,2024-10-09
1,923,2020-12-20,2021-01-13
1,940,2023-11-28,2023-12-26
1,943,2022-05-19,2022-06-01
1,954,2022-09-15,2022-10-15
1,1009,2021-02-24,2021-03-02
1,1023,2023-11-16,2023-12-12
1,1024,2021-02-14,2021-03-02
1,1025,2021-09-24,2021-10-21
1,1029,2024-10-18,2024-10-22
1,1030,2024-10-16,2024-10-30
1,1031,2022-11-03,2022-11-18
1,1032,2020-06-17,2020-06-26
1,1042,2022-12-06,2022-12-26
1,1049,2022-11-13,2022-12-07
1,1060,2021-05-31,2021-06-13
1,1073,2020-05-13,2020-06-04
1,1080,2021-05-11,2021-05-20
1,1089,2024-04-29,2024-05-10
1,1090,2022-12-14,2023-01-01
1,1092,2020-01-08,2020-01-20
1,1097,2022-07-26,2022-08-03
1,1127,2021-06-04,2021-06-21
1,1136,2023-04-21,2023-05-12
1,1196,2022-10-08,2022-10-17
1,1197,2023-06-10,2023-07-04
1,1198,2022-03-07,2022-04-06
1,1206,2022-04-17,2022-04-20
1,1208,2024-06-28,2024-07-02
1,1210,2020-05-08,2020-06-03
1,1213,2024-05-29,2024-06-11
1,1214,2021-08-30,2021-09-21
1,1219,2021-04-08,2021-04-17
1,1220,2021-03-13,2021-03-27
1,1222,2022-08-20,2022-09-03
1,1224,2021-01-09,2021-01-15
1,1226,2022-12-10,2022-12-23
1,1240,2020-06-30,2020-07-22
1,1256,2024-04-24,2024-05-20
1,1258,2024-03-04,2024-03-17
1,1265,2020-09-08,2020-09-29
1,1270,2021-05-17,2021-05-27
1,1275,2021-05-02,2021-05-11
1,1278,2022-09-17,2022-09-26
1,1282,2024-06-07,2024-07-04
1,1291,2022-01-07,2022-02-02
1,1298,2020-01-07,2020-01-21
1,1348,2020-03-26,2020-04-18
1,1377,2024-12-30,2025-01-11
1,1396,2021-04-27,2021-05-16
1,1408,2023-04-01,2023-04-09
1,1445,2023-10-10,2023-10-18
1,1473,2023-07-31,2023-08-18
1,1500,2023-03-10,2023-04-07
1,1517,2023-02-05,2023-02-19
1,1552,2020-12-13,2020-12-14
1,1573,2021-06-15,2021-07-03
1,1580,2022-11-17,2022-12-12
1,1587,2020-03-12,2020-04-08
1,1617,2021-12-26,2022-01-06
1,1620,2022-06-14,2022-07-05
1,1625,2020-01-26,2020-01-31
1,1644,2020-01-04,2020-01-28
1,1676,2023-09-30,2023-10-29
1,1732,2021-09-06,2021-09-14
1,1777,2024-06-17,2024-07-05
1,1793,2023-07-28,2023-08-26
1,1804,2022-12-11,2022-12-26
1,1805,2020-10-06,2020-11-05
1,1920,2023-06-09,2023-06-16
1,1927,2024-10-30,2024-11-19
1,1954,2023-04-26,2023-05-22
1,1967,2024-05-28,2024-06-26
1,2000,2024-08-31,2024-09-24
1,2005,2022-11-08,2022-11-24
1,2012,2024-12-10,2024-12-19
1,2018,2022-01-07,2022-01-26
